CORBA POTÈNCIA fontajau febrer-juliol 2023
21/02/2023 15:00 41 kW (estiu=False)
21/02/2023 16:00 31 kW (estiu=False)
21/02/2023 17:00 31 kW (estiu=False)
21/02/2023 18:00 58 kW (estiu=False)
21/02/2023 19:00 87 kW (estiu=False)
21/02/2023 20:00 178 kW (estiu=False)
21/02/2023 21:00 103 kW (estiu=False)
21/02/2023 22:00 59 kW (estiu=False)
21/02/2023 23:00 55 kW (estiu=False)
22/02/2023 00:00 46 kW (estiu=False)
22/02/2023 01:00 23 kW (estiu=False)
22/02/2023 02:00 23 kW (estiu=False)
22/02/2023 03:00 22 kW (estiu=False)
22/02/2023 04:00 23 kW (estiu=False)
22/02/2023 05:00 22 kW (estiu=False)
22/02/2023 06:00 22 kW (estiu=False)
22/02/2023 07:00 23 kW (estiu=False)
22/02/2023 08:00 43 kW (estiu=False)
22/02/2023 09:00 54 kW (estiu=False)
22/02/2023 10:00 120 kW (estiu=False)
22/02/2023 11:00 132 kW (estiu=False)
22/02/2023 12:00 117 kW (estiu=False)
22/02/2023 13:00 108 kW (estiu=False)
22/02/2023 14:00 88 kW (estiu=False)
22/02/2023 15:00 36 kW (estiu=False)
22/02/2023 16:00 30 kW (estiu=False)
22/02/2023 17:00 31 kW (estiu=False)
22/02/2023 18:00 53 kW (estiu=False)
22/02/2023 19:00 73 kW (estiu=False)
22/02/2023 20:00 141 kW (estiu=False)
22/02/2023 21:00 188 kW (estiu=False)
22/02/2023 22:00 172 kW (estiu=False)
22/02/2023 23:00 135 kW (estiu=False)
23/02/2023 00:00 71 kW (estiu=False)
23/02/2023 01:00 43 kW (estiu=False)
23/02/2023 02:00 27 kW (estiu=False)
23/02/2023 03:00 26 kW (estiu=False)
23/02/2023 04:00 25 kW (estiu=False)
23/02/2023 05:00 26 kW (estiu=False)
23/02/2023 06:00 26 kW (estiu=False)
23/02/2023 07:00 26 kW (estiu=False)
23/02/2023 08:00 30 kW (estiu=False)
23/02/2023 09:00 34 kW (estiu=False)
23/02/2023 10:00 54 kW (estiu=False)
23/02/2023 11:00 71 kW (estiu=False)
23/02/2023 12:00 106 kW (estiu=False)
23/02/2023 13:00 96 kW (estiu=False)
23/02/2023 14:00 72 kW (estiu=False)
23/02/2023 15:00 35 kW (estiu=False)
23/02/2023 16:00 28 kW (estiu=False)
23/02/2023 17:00 29 kW (estiu=False)
23/02/2023 18:00 62 kW (estiu=False)
23/02/2023 19:00 68 kW (estiu=False)
23/02/2023 20:00 78 kW (estiu=False)
23/02/2023 21:00 67 kW (estiu=False)
23/02/2023 22:00 55 kW (estiu=False)
23/02/2023 23:00 47 kW (estiu=False)
24/02/2023 00:00 39 kW (estiu=False)
24/02/2023 01:00 24 kW (estiu=False)
24/02/2023 02:00 24 kW (estiu=False)
24/02/2023 03:00 24 kW (estiu=False)
24/02/2023 04:00 24 kW (estiu=False)
24/02/2023 05:00 25 kW (estiu=False)
24/02/2023 06:00 24 kW (estiu=False)
24/02/2023 07:00 24 kW (estiu=False)
24/02/2023 08:00 38 kW (estiu=False)
24/02/2023 09:00 36 kW (estiu=False)
24/02/2023 10:00 108 kW (estiu=False)
24/02/2023 11:00 128 kW (estiu=False)
24/02/2023 12:00 102 kW (estiu=False)
24/02/2023 13:00 98 kW (estiu=False)
24/02/2023 14:00 62 kW (estiu=False)
24/02/2023 15:00 44 kW (estiu=False)
24/02/2023 16:00 25 kW (estiu=False)
24/02/2023 17:00 36 kW (estiu=False)
24/02/2023 18:00 52 kW (estiu=False)
24/02/2023 19:00 69 kW (estiu=False)
24/02/2023 20:00 65 kW (estiu=False)
24/02/2023 21:00 61 kW (estiu=False)
24/02/2023 22:00 59 kW (estiu=False)
24/02/2023 23:00 55 kW (estiu=False)
25/02/2023 00:00 26 kW (estiu=False)
25/02/2023 01:00 23 kW (estiu=False)
25/02/2023 02:00 24 kW (estiu=False)
25/02/2023 03:00 25 kW (estiu=False)
25/02/2023 04:00 23 kW (estiu=False)
25/02/2023 05:00 24 kW (estiu=False)
25/02/2023 06:00 24 kW (estiu=False)
25/02/2023 07:00 25 kW (estiu=False)
25/02/2023 08:00 42 kW (estiu=False)
25/02/2023 09:00 50 kW (estiu=False)
25/02/2023 10:00 61 kW (estiu=False)
25/02/2023 11:00 63 kW (estiu=False)
25/02/2023 12:00 53 kW (estiu=False)
25/02/2023 13:00 38 kW (estiu=False)
25/02/2023 14:00 35 kW (estiu=False)
25/02/2023 15:00 32 kW (estiu=False)
25/02/2023 16:00 52 kW (estiu=False)
25/02/2023 17:00 54 kW (estiu=False)
25/02/2023 18:00 55 kW (estiu=False)
25/02/2023 19:00 61 kW (estiu=False)
25/02/2023 20:00 66 kW (estiu=False)
25/02/2023 21:00 64 kW (estiu=False)
25/02/2023 22:00 50 kW (estiu=False)
25/02/2023 23:00 27 kW (estiu=False)
26/02/2023 00:00 27 kW (estiu=False)
26/02/2023 01:00 23 kW (estiu=False)
26/02/2023 02:00 22 kW (estiu=False)
